Driver,Win %,Podium %,Top 5 %,Avg Finish
VER,99.26,100.0,100.0,1.0074
HAM,0.74,100.0,100.0,1.9956
ALO,0.0,13.320000000000002,58.660000000000004,5.0121
STR,0.0,0.0,0.0,8.6919
PER,0.0,25.77,77.28,4.4736
NOR,0.0,0.0,0.0,11.0881
HUL,0.0,0.0,0.0,13.1502
PIA,0.0,0.0,0.0,13.5507
ZHO,0.0,0.0,0.0,14.8584
TSU,0.0,0.0,0.0,12.9252
BOT,0.0,0.0,0.0,17.5198
SAI,0.0,37.72,85.85000000000001,4.1143
GAS,0.0,0.0,0.0,8.3362
OCO,0.0,0.15,2.96,6.9169
DEV,0.0,0.0,0.0,14.8848
SAR,0.0,0.0,0.0,19.9967
MAG,0.0,0.0,0.0,17.6143
RUS,0.0,23.04,75.25,4.5589
ALB,0.0,0.0,0.0,18.7787
LEC,0.0,0.0,0.0,10.5262
RIC,0.0,0.0,0.0,0.0
LAW,0.0,0.0,0.0,0.0
